Votes,Score,English_Name,Favourites_count,Popularity_ranking
677447,10,Death Note,145023,1
668585,9,Death Note,145023,1
519533,8,Death Note,145023,1
247163,7,Death Note,145023,1
82598,6,Death Note,145023,1
33543,5,Death Note,145023,1
12478,4,Death Note,145023,1
4419,3,Death Note,145023,1
2678,2,Death Note,145023,1
4394,1,Death Note,145023,1
608582,10,Shingeki no Kyojin,,2
651863,9,Shingeki no Kyojin,,2
582473,8,Shingeki no Kyojin,,2
270062,7,Shingeki no Kyojin,,2
83267,6,Shingeki no Kyojin,,2
35610,5,Shingeki no Kyojin,,2
13482,4,Shingeki no Kyojin,,2
5284,3,Shingeki no Kyojin,,2
3157,2,Shingeki no Kyojin,,2
6788,1,Shingeki no Kyojin,,2
840395,10,Fullmetal Alchemist: Brotherhood,190243,3
482474,9,Fullmetal Alchemist: Brotherhood,190243,3
243269,8,Fullmetal Alchemist: Brotherhood,190243,3
86303,7,Fullmetal Alchemist: Brotherhood,190243,3
25162,6,Fullmetal Alchemist: Brotherhood,190243,3
11728,5,Fullmetal Alchemist: Brotherhood,190243,3
4125,4,Fullmetal Alchemist: Brotherhood,190243,3
1960,3,Fullmetal Alchemist: Brotherhood,190243,3
2492,2,Fullmetal Alchemist: Brotherhood,190243,3
22178,1,Fullmetal Alchemist: Brotherhood,190243,3
269144,10,Sword Art Online,,4
267372,9,Sword Art Online,,4
358224,8,Sword Art Online,,4
366256,7,Sword Art Online,,4
228989,6,Sword Art Online,,4
150146,5,Sword Art Online,,4
96644,4,Sword Art Online,,4
51834,3,Sword Art Online,,4
29360,2,Sword Art Online,,4
26994,1,Sword Art Online,,4
416305,10,One Punch Man,,5
565072,9,One Punch Man,,5
517202,8,One Punch Man,,5
223856,7,One Punch Man,,5
60896,6,One Punch Man,,5
22516,5,One Punch Man,,5
7096,4,One Punch Man,,5
2785,3,One Punch Man,,5
1714,2,One Punch Man,,5
3150,1,One Punch Man,,5
226374,10,Boku no Hero Academia,,6
373896,9,Boku no Hero Academia,,6
534100,8,Boku no Hero Academia,,6
362536,7,Boku no Hero Academia,,6
117644,6,Boku no Hero Academia,,6
45641,5,Boku no Hero Academia,,6
13582,4,Boku no Hero Academia,,6
5440,3,Boku no Hero Academia,,6
2767,2,Boku no Hero Academia,,6
4893,1,Boku no Hero Academia,,6
229212,10,Tokyo Ghoul,44057,7
304566,9,Tokyo Ghoul,44057,7
435558,8,Tokyo Ghoul,44057,7
330013,7,Tokyo Ghoul,44057,7
139608,6,Tokyo Ghoul,44057,7
63102,5,Tokyo Ghoul,44057,7
29990,4,Tokyo Ghoul,44057,7
12350,3,Tokyo Ghoul,44057,7
6217,2,Tokyo Ghoul,44057,7
5780,1,Tokyo Ghoul,44057,7
285916,10,Naruto,64229,8
303092,9,Naruto,64229,8
440896,8,Naruto,64229,8
356822,7,Naruto,64229,8
131770,6,Naruto,64229,8
55412,5,Naruto,64229,8
18008,4,Naruto,64229,8
7074,3,Naruto,64229,8
4137,2,Naruto,64229,8
6581,1,Naruto,64229,8
620538,10,Kimi no Na wa.,,9
430869,9,Kimi no Na wa.,,9
273468,8,Kimi no Na wa.,,9
121389,7,Kimi no Na wa.,,9
42362,6,Kimi no Na wa.,,9
17534,5,Kimi no Na wa.,,9
7213,4,Kimi no Na wa.,,9
2906,3,Kimi no Na wa.,,9
1501,2,Kimi no Na wa.,,9
4625,1,Kimi no Na wa.,,9
577368,10,Hunter x Hunter (2011),,10
405364,9,Hunter x Hunter (2011),,10
227186,8,Hunter x Hunter (2011),,10
89999,7,Hunter x Hunter (2011),,10
25950,6,Hunter x Hunter (2011),,10
11041,5,Hunter x Hunter (2011),,10
4035,4,Hunter x Hunter (2011),,10
1717,3,Hunter x Hunter (2011),,10
1313,2,Hunter x Hunter (2011),,10
5464,1,Hunter x Hunter (2011),,10
366183,10,Kimetsu no Yaiba,,11
462652,9,Kimetsu no Yaiba,,11
395751,8,Kimetsu no Yaiba,,11
161393,7,Kimetsu no Yaiba,,11
45580,6,Kimetsu no Yaiba,,11
18705,5,Kimetsu no Yaiba,,11
6324,4,Kimetsu no Yaiba,,11
2488,3,Kimetsu no Yaiba,,11
1360,2,Kimetsu no Yaiba,,11
4129,1,Kimetsu no Yaiba,,11
542693,10,Steins;Gate,,12
325171,9,Steins;Gate,,12
167722,8,Steins;Gate,,12
69008,7,Steins;Gate,,12
25560,6,Steins;Gate,,12
13507,5,Steins;Gate,,12
6300,4,Steins;Gate,,12
2993,3,Steins;Gate,,12
2289,2,Steins;Gate,,12
6684,1,Steins;Gate,,12
339558,10,Shingeki no Kyojin Season 2,,13
425465,9,Shingeki no Kyojin Season 2,,13
415790,8,Shingeki no Kyojin Season 2,,13
178154,7,Shingeki no Kyojin Season 2,,13
48991,6,Shingeki no Kyojin Season 2,,13
15995,5,Shingeki no Kyojin Season 2,,13
6312,4,Shingeki no Kyojin Season 2,,13
2121,3,Shingeki no Kyojin Season 2,,13
1093,2,Shingeki no Kyojin Season 2,,13
2753,1,Shingeki no Kyojin Season 2,,13
217486,10,Boku no Hero Academia 2nd Season,,14
381336,9,Boku no Hero Academia 2nd Season,,14
462548,8,Boku no Hero Academia 2nd Season,,14
244302,7,Boku no Hero Academia 2nd Season,,14
71723,6,Boku no Hero Academia 2nd Season,,14
25307,5,Boku no Hero Academia 2nd Season,,14
7232,4,Boku no Hero Academia 2nd Season,,14
2801,3,Boku no Hero Academia 2nd Season,,14
1440,2,Boku no Hero Academia 2nd Season,,14
2979,1,Boku no Hero Academia 2nd Season,,14
251438,10,No Game No Life,,15
321188,9,No Game No Life,,15
364365,8,No Game No Life,,15
227578,7,No Game No Life,,15
86834,6,No Game No Life,,15
38149,5,No Game No Life,,15
18448,4,No Game No Life,,15
8000,3,No Game No Life,,15
4327,2,No Game No Life,,15
4529,1,No Game No Life,,15
334478,10,Naruto: Shippuuden,,16
276621,9,Naruto: Shippuuden,,16
303138,8,Naruto: Shippuuden,,16
216761,7,Naruto: Shippuuden,,16
92230,6,Naruto: Shippuuden,,16
43118,5,Naruto: Shippuuden,,16
19052,4,Naruto: Shippuuden,,16
7875,3,Naruto: Shippuuden,,16
4060,2,Naruto: Shippuuden,,16
5348,1,Naruto: Shippuuden,,16
376806,10,Code Geass: Hangyaku no Lelouch,,17
365214,9,Code Geass: Hangyaku no Lelouch,,17
254317,8,Code Geass: Hangyaku no Lelouch,,17
110284,7,Code Geass: Hangyaku no Lelouch,,17
37299,6,Code Geass: Hangyaku no Lelouch,,17
17072,5,Code Geass: Hangyaku no Lelouch,,17
8300,4,Code Geass: Hangyaku no Lelouch,,17
3612,3,Code Geass: Hangyaku no Lelouch,,17
1939,2,Code Geass: Hangyaku no Lelouch,,17
3129,1,Code Geass: Hangyaku no Lelouch,,17
207152,10,Toradora!,,18
289347,9,Toradora!,,18
328307,8,Toradora!,,18
203397,7,Toradora!,,18
77677,6,Toradora!,,18
34555,5,Toradora!,,18
15212,4,Toradora!,,18
6274,3,Toradora!,,18
3529,2,Toradora!,,18
4128,1,Toradora!,,18
131052,10,Noragami,,19
231513,9,Noragami,,19
369902,8,Noragami,,19
242276,7,Noragami,,19
73331,6,Noragami,,19
25710,5,Noragami,,19
7091,4,Noragami,,19
2275,3,Noragami,,19
1030,2,Noragami,,19
1150,1,Noragami,,19
216471,10,Angel Beats!,,20
267584,9,Angel Beats!,,20
302305,8,Angel Beats!,,20
198216,7,Angel Beats!,,20
81112,6,Angel Beats!,,20
37043,5,Angel Beats!,,20
16799,4,Angel Beats!,,20
6957,3,Angel Beats!,,20
3240,2,Angel Beats!,,20
2945,1,Angel Beats!,,20
225748,10,Re:Zero kara Hajimeru Isekai Seikatsu,,21
322151,9,Re:Zero kara Hajimeru Isekai Seikatsu,,21
337223,8,Re:Zero kara Hajimeru Isekai Seikatsu,,21
168116,7,Re:Zero kara Hajimeru Isekai Seikatsu,,21
59505,6,Re:Zero kara Hajimeru Isekai Seikatsu,,21
26175,5,Re:Zero kara Hajimeru Isekai Seikatsu,,21
14195,4,Re:Zero kara Hajimeru Isekai Seikatsu,,21
6146,3,Re:Zero kara Hajimeru Isekai Seikatsu,,21
3508,2,Re:Zero kara Hajimeru Isekai Seikatsu,,21
4436,1,Re:Zero kara Hajimeru Isekai Seikatsu,,21
367725,10,Shigatsu wa Kimi no Uso,,22
312873,9,Shigatsu wa Kimi no Uso,,22
233069,8,Shigatsu wa Kimi no Uso,,22
111113,7,Shigatsu wa Kimi no Uso,,22
41557,6,Shigatsu wa Kimi no Uso,,22
19010,5,Shigatsu wa Kimi no Uso,,22
9187,4,Shigatsu wa Kimi no Uso,,22
3774,3,Shigatsu wa Kimi no Uso,,22
2091,2,Shigatsu wa Kimi no Uso,,22
3375,1,Shigatsu wa Kimi no Uso,,22
508220,10,Koe no Katachi,,23
392734,9,Koe no Katachi,,23
215356,8,Koe no Katachi,,23
86158,7,Koe no Katachi,,23
26675,6,Koe no Katachi,,23
9885,5,Koe no Katachi,,23
4221,4,Koe no Katachi,,23
1720,3,Koe no Katachi,,23
950,2,Koe no Katachi,,23
2589,1,Koe no Katachi,,23
173774,10,Boku no Hero Academia 3rd Season,,24
294838,9,Boku no Hero Academia 3rd Season,,24
371240,8,Boku no Hero Academia 3rd Season,,24
211450,7,Boku no Hero Academia 3rd Season,,24
66393,6,Boku no Hero Academia 3rd Season,,24
24451,5,Boku no Hero Academia 3rd Season,,24
7741,4,Boku no Hero Academia 3rd Season,,24
2830,3,Boku no Hero Academia 3rd Season,,24
1348,2,Boku no Hero Academia 3rd Season,,24
2582,1,Boku no Hero Academia 3rd Season,,24
134995,10,Mirai Nikki (TV),,25
186684,9,Mirai Nikki (TV),,25
257865,8,Mirai Nikki (TV),,25
225661,7,Mirai Nikki (TV),,25
120489,6,Mirai Nikki (TV),,25
60922,5,Mirai Nikki (TV),,25
39169,4,Mirai Nikki (TV),,25
19841,3,Mirai Nikki (TV),,25
11504,2,Mirai Nikki (TV),,25
9044,1,Mirai Nikki (TV),,25
305877,10,Shingeki no Kyojin Season 3,,26
384943,9,Shingeki no Kyojin Season 3,,26
323230,8,Shingeki no Kyojin Season 3,,26
117818,7,Shingeki no Kyojin Season 3,,26
29719,6,Shingeki no Kyojin Season 3,,26
9391,5,Shingeki no Kyojin Season 3,,26
3719,4,Shingeki no Kyojin Season 3,,26
1432,3,Shingeki no Kyojin Season 3,,26
705,2,Shingeki no Kyojin Season 3,,26
2417,1,Shingeki no Kyojin Season 3,,26
398908,10,One Piece,144490,27
208599,9,One Piece,144490,27
171055,8,One Piece,144490,27
100807,7,One Piece,144490,27
41279,6,One Piece,144490,27
21975,5,One Piece,144490,27
9380,4,One Piece,144490,27
4326,3,One Piece,144490,27
3104,2,One Piece,144490,27
8130,1,One Piece,144490,27
135878,10,Nanatsu no Taizai,,28
220289,9,Nanatsu no Taizai,,28
332964,8,Nanatsu no Taizai,,28
249258,7,Nanatsu no Taizai,,28
99350,6,Nanatsu no Taizai,,28
46408,5,Nanatsu no Taizai,,28
22581,4,Nanatsu no Taizai,,28
10753,3,Nanatsu no Taizai,,28
5817,2,Nanatsu no Taizai,,28
6268,1,Nanatsu no Taizai,,28
124699,10,Akame ga Kill!,,29
182638,9,Akame ga Kill!,,29
278864,8,Akame ga Kill!,,29
247803,7,Akame ga Kill!,,29
123808,6,Akame ga Kill!,,29
62618,5,Akame ga Kill!,,29
37036,4,Akame ga Kill!,,29
15998,3,Akame ga Kill!,,29
7949,2,Akame ga Kill!,,29
5356,1,Akame ga Kill!,,29
232061,10,Boku dake ga Inai Machi,,30
319229,9,Boku dake ga Inai Machi,,30
304828,8,Boku dake ga Inai Machi,,30
160772,7,Boku dake ga Inai Machi,,30
56210,6,Boku dake ga Inai Machi,,30
20805,5,Boku dake ga Inai Machi,,30
9915,4,Boku dake ga Inai Machi,,30
4231,3,Boku dake ga Inai Machi,,30
1824,2,Boku dake ga Inai Machi,,30
2211,1,Boku dake ga Inai Machi,,30
94791,10,Sword Art Online II,,31
116142,9,Sword Art Online II,,31
199382,8,Sword Art Online II,,31
263925,7,Sword Art Online II,,31
186781,6,Sword Art Online II,,31
118431,5,Sword Art Online II,,31
76594,4,Sword Art Online II,,31
41344,3,Sword Art Online II,,31
